,systems engineering,system dynamics,engineering systems,systemic design,soft systems methodology,systems thinking,complex adaptive systems,transition research,strategic niche management,strategic transition management,exploratory modeling,life-cycle optimization,operations research,transport policy analysis
1900,531,65,531,9,2,380,147,209,0,2,23,0,1493,14
1901,510,46,510,10,2,401,164,230,0,0,7,0,1509,25
1902,549,55,549,11,1,403,160,207,1,3,10,0,1574,19
1903,603,57,603,25,0,421,153,242,0,1,18,0,1748,20
1904,455,59,455,11,1,516,183,273,0,0,12,0,1779,22
1905,571,72,571,17,1,470,219,281,0,1,12,0,1745,26
1906,579,62,579,28,0,422,191,297,0,1,9,0,1797,24
1907,578,72,578,18,1,492,179,342,0,1,9,0,2040,18
1908,661,65,661,23,1,512,224,299,0,5,13,0,2136,25
1909,735,57,735,19,1,535,236,296,0,5,13,0,2146,23
1910,680,54,680,27,1,498,237,277,0,0,11,0,2136,26
1911,732,40,732,12,1,542,239,331,0,2,20,0,2213,24
1912,775,57,775,19,1,591,261,334,0,2,4,0,2412,36
1913,776,60,776,7,0,520,290,365,0,2,10,0,2278,32
1914,783,75,783,8,3,555,266,349,0,1,9,0,2242,45
1915,745,80,745,24,0,493,248,279,0,2,4,0,2329,37
1916,751,61,751,21,3,579,241,298,1,3,7,0,2072,44
1917,671,55,671,21,1,554,228,312,0,0,8,0,2143,57
1918,694,58,694,16,1,556,264,313,0,4,9,0,2156,42
1919,801,60,801,29,5,574,291,334,0,0,7,0,2553,67
1920,879,73,879,30,2,614,289,378,0,4,6,0,2781,75
1921,881,73,881,30,0,717,327,394,0,2,13,0,3055,57
1922,987,92,987,31,1,712,345,423,0,1,14,0,3253,72
1923,974,58,974,42,3,678,332,441,0,4,7,0,3363,71
1924,1161,47,1161,43,2,685,316,520,0,3,16,0,3398,68
1925,1166,35,1166,55,1,788,355,546,1,6,10,0,3725,64
1926,1118,63,1118,52,1,706,313,573,0,3,11,0,3750,79
1927,1170,57,1170,55,7,811,360,621,0,3,13,0,3995,86
1928,1157,59,1157,64,4,869,371,613,0,4,14,0,4029,73
1929,1359,53,1359,56,8,832,380,726,0,4,12,0,4345,108
1930,1520,55,1520,64,3,852,413,741,0,3,18,0,4421,113
1931,1375,70,1375,55,8,848,402,842,0,5,21,0,4650,126
1932,1374,81,1374,88,8,987,415,871,1,8,27,0,4746,114
1933,1278,31,1278,79,6,1022,425,869,0,4,22,0,4599,136
1934,1345,58,1345,64,7,1081,435,880,0,2,18,0,4751,136
1935,1497,78,1497,87,4,1088,405,995,3,8,40,1,5069,142
1936,1575,57,1575,114,10,1144,485,968,0,6,34,0,5160,165
1937,1649,92,1649,103,8,1323,534,1053,0,2,25,0,5371,157
1938,1554,98,1554,109,9,1344,530,1098,0,6,40,3,5430,186
1939,1647,88,1647,104,10,1432,585,1153,2,9,57,1,5585,198
1940,1588,60,1588,99,11,1405,508,1136,2,8,47,1,5064,187
1941,1448,82,1448,106,6,1480,568,1143,4,21,42,0,5178,195
1942,1595,93,1595,106,9,1401,542,993,3,24,28,1,4990,208
1943,1607,86,1607,124,10,1458,535,965,1,16,25,0,4880,211
1944,1692,77,1692,89,16,1596,553,1065,3,31,42,0,5393,217
