Keyword,Year,Count,RelativeGrowth
transformation|transition,2024,499,9.072727272727272
transformation|transition,2023,487,8.854545454545455
transformation|transition,2022,405,7.363636363636363
transformation|transition,2021,346,6.290909090909091
transformation|transition,2020,342,6.218181818181818
transformation|transition,2019,254,4.618181818181818
transformation|transition,2018,252,4.581818181818182
transformation|transition,2015,180,3.272727272727273
transformation|transition,2017,174,3.1636363636363636
transformation|transition,2013,172,3.1272727272727274
transformation|transition,2014,163,2.963636363636364
transformation|transition,2012,158,2.8727272727272726
transformation|transition,2016,155,2.8181818181818183
transformation|transition,2010,151,2.7454545454545456
transformation|transition,2011,136,2.4727272727272727
transformation|transition,2009,133,2.418181818181818
transformation|transition,2007,121,2.2
transformation|transition,2008,106,1.9272727272727272
transformation|transition,2005,103,1.8727272727272728
transformation|transition,2006,95,1.7272727272727273
transformation|transition,2004,84,1.5272727272727273
transformation|transition,2003,77,1.4
transformation|transition,2001,72,1.309090909090909
transformation|transition,2002,66,1.2
transformation|transition,2000,55,1.0
